module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Courses & Bootcamp Suite,crs-agent-architect,Prerequisite Mapping,PM,"Arrange a logical learning sequence without concept jumps.",prerequisite-mapping,,3-design,crs-agent-researcher:tech-stack-scoping,,false,crs_output_folder,learning path
Courses & Bootcamp Suite,crs-agent-architect,Mini-Project Design,MP,"Design a final project that covers all material.",mini-project-design,,3-design,crs-agent-researcher:tech-stack-scoping,,false,crs_output_folder,project spec
Courses & Bootcamp Suite,crs-agent-architect,Hybrid Logistics Adjustment,HL,"Adjust duration and material order for Online/Offline format.",hybrid-logistics,,3-design,crs-agent-researcher:tech-stack-scoping,,false,crs_output_folder,logistics plan
Courses & Bootcamp Suite,crs-agent-engagement,Aha! Moment Mapping,AM,"Determine key material points for inserting engagement triggers.",aha-moment-mapping,,3-design,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,engagement map
Courses & Bootcamp Suite,crs-agent-engagement,Anti-Ghosting Triggers,AG,"Design motivational interventions at difficult points.",anti-ghosting-triggers,,3-design,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,intervention plan
Courses & Bootcamp Suite,crs-agent-engagement,Offline/Hybrid Dynamics,OH,"Design physical activities and interactive discussions for offline sessions.",offline-hybrid-dynamics,,3-design,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,offline activity
Courses & Bootcamp Suite,crs-agent-theory-writer,Multi-Level Content Writing,MC,"Write material with depth adapted to audience level.",multi-level-content,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,content draft (prose)
Courses & Bootcamp Suite,crs-agent-theory-writer,Analogical Thinking,AT,"Create analogies for abstract technical concepts.",analogical-thinking,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,analogy
Courses & Bootcamp Suite,crs-agent-theory-writer,Style Adaptation,SA,"Adapt writing style to configured style preferences.",style-adaptation,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,styled draft
Courses & Bootcamp Suite,crs-agent-code-smith,Environment Scaffolding,ES,"Create ready-to-use environment setup (Docker, .env, README).",environment-scaffolding,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,scaffolding files
Courses & Bootcamp Suite,crs-agent-code-smith,Exercise Generation,EG,"Create progressive coding exercises.",exercise-generation,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,coding exercise
Courses & Bootcamp Suite,crs-agent-code-smith,Debugging Scenario Crafting,DS,"Create intentionally broken code for debugging practice.",debugging-scenario,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,buggy code and hint
Courses & Bootcamp Suite,crs-agent-code-smith,Automated Grading Setup,GT,"Set up unit tests to validate student answers.",automated-grading,,4-development,crs-agent-architect:dynamic-timeline,,false,crs_output_folder,test suite
Courses & Bootcamp Suite,crs-agent-simulator,Comprehension Audit,CA,"Test material through the Slow Learner persona.",comprehension-audit,,5-testing,crs-agent-theory-writer:multi-level-content,,false,crs_output_folder,comprehension report
Courses & Bootcamp Suite,crs-agent-simulator,Edge-Case Questioning,EC,"Challenge technology justification through the Skeptic Expert persona.",edge-case-questioning,,5-testing,crs-agent-theory-writer:multi-level-content,,false,crs_output_folder,rebuttal suggestions
Courses & Bootcamp Suite,crs-agent-simulator,Coding UX Test,CU,"Test coding instructions and error handling.",coding-ux-test,,5-testing,crs-agent-code-smith:exercise-generation,,false,crs_output_folder,UX coding feedback
Courses & Bootcamp Suite,crs-agent-delivery,Instructor Guidelines,IG,"Write Tone of Voice guidelines and how to answer difficult questions.",instructor-guidelines,,6-delivery,crs-agent-simulator:comprehension-audit,,false,crs_output_folder,delivery guide
Courses & Bootcamp Suite,crs-agent-delivery,Slide Architecture,SL,"Convert text drafts into a visual presentation structure.",slide-architecture,,6-delivery,crs-agent-simulator:comprehension-audit,,false,crs_output_folder,slide structure
